station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
JAN,JARANGDIH,,BKRO,BOKARO THERMAL,,12,5.7
BKRO,BOKARO THERMAL,,GMIA,GUMIA,,12,5.1
GMIA,GUMIA,,DMBR,DUMRI BIHAR,,12,6.4
DMBR,DUMRI BIHAR,,DNEA,DANEA,,12,11.0
DNEA,DANEA,,CNPR,CHAINPUR,,12,10.9
CNPR,CHAINPUR,,RRME,RANCHI ROAD,,12,10.2
RRME,RANCHI ROAD,,ARGD,ARIGADA,,10,5.2
THO,TULIN,,JAA,JHALIDA,,64,7.5
JAA,JHALIDA,,BKDR,BEGUN KUDAR,,1,4.1
BKSC,BOKARO STEEL CITY,,TKB,TUPKADIH,,54,6.7
TPZ,TAPRI JN,Uttar Pradesh,NGL,NANGAL,Uttar Pradesh,57,10.0
TPZ,TAPRI JN,Uttar Pradesh,MNZ,MANANI,Uttar Pradesh,12,8.9
NGL,NANGAL,Uttar Pradesh,THJ,TALHERI BUZURG,Uttar Pradesh,57,7.6
THJ,TALHERI BUZURG,Uttar Pradesh,DBD,DEOBAND,Uttar Pradesh,57,10.0
DBD,DEOBAND,Uttar Pradesh,RNA,ROHANA KALAN,Uttar Pradesh,57,11.7
RNA,ROHANA KALAN,Uttar Pradesh,BMHR,BAMANHERI,Uttar Pradesh,57,7.1
BMHR,BAMANHERI,Uttar Pradesh,MOZ,MUZAFFARNAGAR,Uttar Pradesh,57,5.1
MOZ,MUZAFFARNAGAR,Uttar Pradesh,JDW,JARAUDA NARA,Uttar Pradesh,56,4.7
JDW,JARAUDA NARA,Uttar Pradesh,MSP,MANSURPUR,Uttar Pradesh,57,8.0
MSP,MANSURPUR,Uttar Pradesh,KAT,KHATAULI,Uttar Pradesh,57,9.2
KAT,KHATAULI,Uttar Pradesh,SKF,SAKHOTI TANDA,Uttar Pradesh,57,9.2
SKF,SAKHOTI TANDA,Uttar Pradesh,DRLA,DAURALA,Uttar Pradesh,57,8.8
DRLA,DAURALA,Uttar Pradesh,PQY,PABLI KHAS,Uttar Pradesh,57,6.5
PQY,PABLI KHAS,Uttar Pradesh,MUT,MEERUT CANT,Uttar Pradesh,57,4.6
MUT,MEERUT CANT,Uttar Pradesh,MTC,MEERUT CITY,Uttar Pradesh,57,4.4
MTC,MEERUT CITY,Uttar Pradesh,PRTP,PARTAPUR,Uttar Pradesh,56,6.4
MTC,MEERUT CITY,Uttar Pradesh,NRNR,Nurnagar,Uttar Pradesh,6,7.8
PRTP,PARTAPUR,Uttar Pradesh,MUZ,MOHIUDDINPUR,Uttar Pradesh,57,5.1
MUZ,MOHIUDDINPUR,Uttar Pradesh,MDNR,MODINAGAR,Uttar Pradesh,57,8.0
MDNR,MODINAGAR,Uttar Pradesh,GUH,GULDHAR,Uttar Pradesh,36,17.8
MDNR,MODINAGAR,Uttar Pradesh,MUD,MURADNAGAR,Uttar Pradesh,21,9.9
GUH,GULDHAR,Uttar Pradesh,GZN,NEW GHAZIABAD,Uttar Pradesh,49,3.7
GUH,GULDHAR,Uttar Pradesh,MUD,MURADNAGAR,Uttar Pradesh,1,7.9
GUH,GULDHAR,Uttar Pradesh,DXH,DUHAI,Uttar Pradesh,12,3.8
